"Adipose...Subcutaneous" "Adipose...Visceral..Omentum." "Adrenal.Gland" "Artery...Aorta" "Artery...Coronary" "Artery...Tibial" "Brain...Anterior.cingulate.cortex..BA24." "Brain...Caudate..basal.ganglia." "Brain...Cerebellar.Hemisphere" "Brain...Cerebellum" "Brain...Cortex" "Brain...Frontal.Cortex..BA9." "Brain...Hippocampus" "Brain...Hypothalamus" "Brain...Nucleus.accumbens..basal.ganglia." "Brain...Putamen..basal.ganglia." "Breast...Mammary.Tissue" "Cells...EBV.transformed.lymphocytes" "Cells...Transformed.fibroblasts" "Colon...Sigmoid" "Colon...Transverse" "Esophagus...Gastroesophageal.Junction" "Esophagus...Mucosa" "Esophagus...Muscularis" "Heart...Atrial.Appendage" "Heart...Left.Ventricle" "Liver" "Lung" "Muscle...Skeletal" "Nerve...Tibial" "Ovary" "Pancreas" "Pituitary" "Prostate" "Skin...Not.Sun.Exposed..Suprapubic." "Skin...Sun.Exposed..Lower.leg." "Small.Intestine...Terminal.Ileum" "Spleen" "Stomach" "Testis" "Thyroid" "Uterus" "Vagina" "Whole.Blood"
"ENSG00000007923" 1389.24 1253.8986784141 2481.08965517241 1066.40625 1255.21804511278 1151.61445783133 1384.2380952381 1085.52136752137 1771.65714285714 1673.456 1594.40350877193 1575.37962962963 955.265957446809 1016.11458333333 1198.36283185841 929.041237113402 1442.01401869159 2985.82203389831 2432.80281690141 1420.02013422819 2238.6887755102 1326.8954248366 1760.72727272727 1461.31578947368 1674.46391752577 2056.5 1120.44537815126 1343.121875 1736.42790697674 1477.24671052632 1607.10309278351 1009.70760233918 1138.14563106796 1272.2358490566 1472.476 1557.80952380952 1805.84090909091 1796.26923076923 1345.49740932642 1864.4476744186 1351 1573.78313253012 1347.04166666667 365.190839694656
"ENSG00000008128" 2820.86571428571 2544.96035242291 2413.23448275862 2416.85714285714 2394.42857142857 2228.5843373494 1378.25 1423.19658119658 3864.70476190476 3609.504 1816.38596491228 1552.38888888889 1488.17021276596 1785.78125 1405.71681415929 1474.9587628866 2956.48130841121 2661.45762711864 1838.44718309859 3361 3645.2193877551 2985.54901960784 2205.74125874126 3134.5991902834 1500.31958762887 1400.37155963303 1791.42016806723 3597.971875 2241.01395348837 2753.55263157895 2785.94845360825 1661.62573099415 3414.19417475728 3368.72641509434 2922.208 2903.96638655462 5015.28409090909 5170.18269230769 2535.69430051813 4862.60465116279 3226.15479876161 3366.43373493976 2610.76041666667 2209.24427480916
"ENSG00000008130" 7634.59142857143 7600.14977973568 11195.5655172414 5950.82589285714 7028.11278195489 6227.92168674699 2427.84523809524 2423.53846153846 2780.89523809524 2812.304 2741.49122807018 2426.41666666667 1965.21276595745 2369.57291666667 2312.42477876106 2414.27835051546 6770.92523364486 6774.08474576271 3765.56690140845 4344.97315436242 6682.38775510204 5306.52941176471 3749.93006993007 6015.57085020243 2907.88659793814 2096.07339449541 9832.72268907563 6450.75625 1619.64418604651 5280.8125 5372.72164948454 3194.85380116959 4205.66990291262 5128.68867924528 3852.28 3836.06442577031 6502.57954545455 13548.8653846154 4914.76165803109 5340.79069767442 5136.36842105263 4815.02409638554 3854.26041666667 19979.9669211196
"ENSG00000009724" 241.145714285714 143.079295154185 147.558620689655 186.580357142857 223.947368421053 249.722891566265 133.416666666667 141.222222222222 1037.05714285714 915.192 169.30701754386 164.759259259259 100.957446808511 140.34375 159.159292035398 105.628865979381 285.420560747664 251.271186440678 163.246478873239 270.442953020134 286.938775510204 266.934640522876 130.15034965035 263.85020242915 92.5721649484536 98.5091743119266 9675.25210084034 238.728125 156.888372093023 458.700657894737 348.463917525773 185.421052631579 293.572815533981 211.283018867925 339.316 369.316526610644 403.806818181818 248.625 211.487046632124 208.523255813953 238.362229102167 374.915662650602 197.71875 42.4783715012723
"ENSG00000011021" 3605.81714285714 2625.08810572687 3425.02068965517 2466.91071428571 2747.45112781955 3021 5589.59523809524 3489.82905982906 5675.60952380952 5461.944 5497.21929824561 5982.12037037037 3789.59574468085 6438.77083333333 3558.61946902655 2987.9587628866 3348.98598130841 3418.77966101695 2337.53873239437 3449.65100671141 2664.30102040816 3109.58169934641 1686.60839160839 3065.47773279352 2440.95360824742 1968.1376146789 1778.52100840336 3868.228125 1690.2511627907 4785.68092105263 4687.68041237113 1363.57894736842 5602.55339805825 3418.00943396226 2100.356 2371.15406162465 3428.92045454545 2900.18269230769 2198.18652849741 5981.26744186046 4002.04643962848 4441.92771084337 2755.46875 726.23155216285
"ENSG00000028137" 9219.85428571429 7925.54625550661 1717.76551724138 2215.20089285714 3633.06015037594 1678.34036144578 747.821428571429 1109.8547008547 353.009523809524 375.896 744.938596491228 708.101851851852 1209.96808510638 1529.46875 843.035398230089 1014.13402061856 7158.07476635514 11141.313559322 1307.28169014085 2200.98657718121 2252.38265306122 2061.11111111111 1074.16083916084 2082.23481781377 2111.74742268041 1680.70183486239 3026.79831932773 7714.45 1207.33488372093 4772.46381578947 1369.80412371134 591.824561403509 1432.41747572816 1884.74528301887 1522.096 1754.09803921569 5702.35227272727 15025.2115384615 1976.0829015544 472.412790697674 1735.34674922601 2621.50602409639 1995.64583333333 52375.4631043257
"ENSG00000037637" 2237.35714285714 1879.07488986784 1867.24137931034 4657.5 3355.69172932331 3842.36746987952 1600.78571428571 1443.52991452991 3628.4380952381 3127.336 1812.36842105263 1771.87962962963 1192.12765957447 1952.72916666667 1690.01769911504 1199.62886597938 2139.76168224299 2761.48305084746 1783.00352112676 2033.81879194631 1622.61224489796 2471.0522875817 2365.49300699301 2277.42105263158 1675.21649484536 1614.28440366972 952.025210084034 2029.1 2113.15813953488 2781.77960526316 2455.38144329897 1116.33333333333 2309.02912621359 2683.12264150943 3936.56 4054.24369747899 1723.42045454545 1882.88461538462 1558.73056994819 2272.99418604651 2394.91640866873 3488.59036144578 2485.52083333333 1377.90839694656
"ENSG00000041988" 878.142857142857 793.352422907489 969.813793103448 897.772321428571 924.330827067669 892.256024096386 678.130952380952 609.42735042735 1105.97142857143 953.52 770.394736842105 765.740740740741 592.553191489362 735.760416666667 639.991150442478 602.587628865979 946.901869158879 979.161016949153 752.411971830986 983.637583892617 659.071428571429 942.274509803922 531.545454545455 946.117408906883 512.231958762887 472.559633027523 494.865546218487 702.734375 601.73023255814 973.325657894737 961.814432989691 556.046783625731 883.776699029126 963.783018867925 725.588 721.232492997199 621.193181818182 855.480769230769 611.093264248705 1057.27325581395 967.030959752322 1189.69879518072 836.802083333333 410.094147582697
"ENSG00000048707" 6922.11428571429 6231.81938325991 4375.93103448276 6694.0625 7210.31578947368 10399.6506024096 5808.91666666667 5157.54700854701 6969.50476190476 6509.856 6661.02631578947 7005.5 3989.10638297872 4661.76041666667 5144.16814159292 4473.15463917526 6712.07943925234 3260.18644067797 5519.31690140845 6663.96644295302 5653.65306122449 7024.60784313726 8290.65734265734 7973.51821862348 4956.5618556701 8901.09174311927 2576.50420168067 6441.05625 7061.88372093023 8079.59210526316 5316.41237113402 3162.29824561404 4829.79611650485 6770.96226415094 11575.912 11868.675070028 5213.05681818182 4404.51923076923 5240.54404145078 5434.9476744186 10329.7089783282 6419.27710843373 7213.19791666667 1567.91603053435
"ENSG00000049239" 10538.7828571429 10544.7400881057 11902.675862069 8121.02678571429 7897.69172932331 6325.09638554217 1448.46428571429 2230.89743589744 2199.32380952381 2391.688 1787.81578947368 1419.83333333333 1698.1170212766 1777.35416666667 2134.14159292035 1979.53608247423 9682.02803738318 5405.14406779661 10967.3415492958 5897.18791946309 5242.01020408163 6932.06535947712 4853.58041958042 6537.17408906883 5380.92268041237 4241.27064220183 19059.5882352941 8641.446875 9824.58837209302 9069.02960526316 18373.7422680412 4497.59649122807 5281.5145631068 7922.05660377359 10428.504 11023.4341736695 6737.28409090909 5661.68269230769 5975.9170984456 4164.28488372093 6332.51702786378 11473.6987951807 6453.02083333333 3146.79389312977
